topic,primary_keyword,slug,cluster_name,pillar_slug,is_pillar,related_slugs
Adhd starting everything,adhd starting everything,adhd-starting-everything,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-productivity-vs-possibility,adhd-brilliant-but-blocked,adhd-dreams-vs-reality,adhd-wasting-potential,adhd-cant-execute"
Adhd finishing nothing,adhd finishing nothing,adhd-finishing-nothing,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-want-to-do-everything,adhd-fear-of-failure,adhd-dreams-vs-reality,adhd-wasting-potential,adhd-big-dreams-no-follow-through"
Adhd brilliant but blocked,adhd brilliant but blocked,adhd-brilliant-but-blocked,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-scared-of-commitment,adhd-productivity-vs-possibility,adhd-unfinished-projects,adhd-shiny-object-syndrome,adhd-hyperfocus-then-drop"
Adhd cant execute,adhd cant execute,adhd-cant-execute,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-followthrough-fatigue,adhd-want-to-do-everything,adhd-unfinished-projects,adhd-shiny-object-syndrome,adhd-ideas-keep-coming"
Adhd ideas keep coming,adhd ideas keep coming,adhd-ideas-keep-coming,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-ambition-burnout-loop,adhd-productivity-vs-possibility,adhd-brilliant-but-blocked,adhd-dreams-vs-reality,adhd-panic-of-wasted-time"
Adhd shiny object syndrome,adhd shiny object syndrome,adhd-shiny-object-syndrome,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-big-dreams-no-follow-through,adhd-scared-of-commitment,adhd-dreams-vs-reality,adhd-ambition-burnout-loop,adhd-productivity-vs-possibility"
Adhd scared of commitment,adhd scared of commitment,adhd-scared-of-commitment,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-finishing-nothing,adhd-big-dreams-no-follow-through,adhd-cant-execute,adhd-fear-of-failure,adhd-want-to-do-everything"
Adhd followthrough fatigue,adhd followthrough fatigue,adhd-followthrough-fatigue,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-unfinished-projects,adhd-brilliant-but-blocked,adhd-productivity-vs-possibility,adhd-ambition-burnout-loop,adhd-fear-of-failure"
Adhd sabotaging success,adhd sabotaging success,adhd-sabotaging-success,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-brilliant-but-blocked,adhd-big-dreams-no-follow-through,adhd-followthrough-fatigue,adhd-shiny-object-syndrome,adhd-panic-of-wasted-time"
Adhd want to do everything,adhd want to do everything,adhd-want-to-do-everything,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-sabotaging-success,adhd-big-dreams-no-follow-through,adhd-finishing-nothing,adhd-unfinished-projects,adhd-ideas-keep-coming"
Adhd hyperfocus then drop,adhd hyperfocus then drop,adhd-hyperfocus-then-drop,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-panic-of-wasted-time,adhd-fear-of-failure,adhd-finishing-nothing,adhd-shiny-object-syndrome,adhd-starting-everything"
Adhd motivation vanishes,adhd motivation vanishes,adhd-motivation-vanishes,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-hyperfocus-then-drop,adhd-cant-execute,adhd-big-dreams-no-follow-through,adhd-fear-of-failure,adhd-productivity-vs-possibility"
Adhd panic of wasted time,adhd panic of wasted time,adhd-panic-of-wasted-time,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-productivity-vs-possibility,adhd-fear-of-failure,adhd-want-to-do-everything,adhd-shiny-object-syndrome,adhd-brilliant-but-blocked"
Adhd productivity vs possibility,adhd productivity vs possibility,adhd-productivity-vs-possibility,adhd-potential-and-followthrough,adhd-potential-and-followthrough,False,"adhd-starting-everything,adhd-fear-of-failure,adhd-panic-of-wasted-time,adhd-followthrough-fatigue,adhd-wasting-potential"
Adhd feel dumb,adhd feel dumb,adhd-feel-dumb,adhd-labels-and-shame,adhd-labels-and-shame,False,"adhd-expectation-vs-reality,adhd-childhood-labels,adhd-failure-identity,adhd-constant-self-doubt,adhd-internalized-ableism"
Adhd feel lazy,adhd feel lazy,adhd-feel-lazy,adhd-labels-and-shame,adhd-labels-and-shame,False,"adhd-feel-dumb,adhd-labeled-as-disruptive,adhd-expectation-vs-reality,adhd-internalized-ableism,adhd-childhood-labels"
Adhd people think im stupid,adhd people think im stupid,adhd-people-think-im-stupid,adhd-labels-and-shame,adhd-labels-and-shame,False,"adhd-fear-of-looking-dumb,adhd-low-self-worth,adhd-afraid-of-being-seen,adhd-trauma-from-teachers,adhd-carrying-school-shame"
Adhd internalized ableism,adhd internalized ableism,adhd-internalized-ableism,adhd-labels-and-shame,adhd-labels-and-shame,False,"adhd-labeled-as-disruptive,adhd-childhood-labels,adhd-afraid-of-being-seen,adhd-carrying-school-shame,adhd-low-self-worth"
Adhd childhood labels,adhd childhood labels,adhd-childhood-labels,adhd-labels-and-shame,adhd-labels-and-shame,False,"adhd-feel-lazy,adhd-fear-of-judgment,adhd-feel-dumb,adhd-expectation-vs-reality,adhd-failure-identity"
